roman_urdu,urdu
maafi mango,معافی مانگو
usse maafi maango,اس سے معافی مانگو
maine maafi maang li,میں نے معافی مانگ لی
abhi ja kar maafi maango,ابھی جا کر معافی مانگو
kya usne maafi maangi,کیا اس نے معافی مانگی
bina maafi ke kaam nahi chalay ga,بنا معافی کے کام نہیں چلے گا
yaar maafi maang lo bas,یار معافی مانگ لو بس
usne seedhi maafi nahi maangi,اس نے سیدھی معافی نہیں مانگی
maafi maangna zaroori tha,معافی مانگنا ضروری تھا
tum se maafi mangta hun,تم سے معافی مانگتا ہوں
usne sirf maafi maangi aur chala gaya,اس نے صرف معافی مانگی اور چلا گیا
dil se maafi maangna chahiye tha,دل سے معافی مانگنا چاہیے تھا
kisi ki maafi kabool karna bhi badi baat hai,کسی کی معافی قبول کرنا بھی بڑی بات ہے
mujhe tumse maafi maangni chahiye thi par mujhe pata nahi tha,مجھے تم سے معافی مانگنی چاہیے تھی پر مجھے پتہ نہیں تھا
mafi maango yaar,معافی مانگو یار
usne mafi nahi maangi,اس نے معافی نہیں مانگی
mafi ke bina gussa nahi jayega,معافی کے بنا غصہ نہیں جائے گا
please mafi maang lo usse,پلیز معافی مانگ لو اس سے
koi mafi maange to bhi nahi manta,کوئی معافی مانگے تو بھی نہیں مانتا
mafi lena aur dena dono zaroori hain,معافی لینا اور دینا دونوں ضروری ہیں
usne mafi maang ke maamla khatam kiya,اس نے معافی مانگ کے معاملہ ختم کیا
aik baar mafi maang lo phir sab theek ho jayega,ایک بار معافی مانگ لو پھر سب ٹھیک ہو جائے گا
"mafi sirf zaban se nahi, dil se maango",معافی صرف زبان سے نہیں، دل سے مانگو
"tumne galti ki, ab mafi maango",تم نے غلطی کی، اب معافی مانگو
maafeey maang lo ab,معافی مانگ لو اب
kya usne maafeey maangi tumse,کیا اس نے معافی مانگی تم سے
maafeey maangna taqat ka kaam hai,معافی مانگنا طاقت کا کام ہے
maafiy maang lo bhai,معافی مانگ لو بھائی
usne maafiy maangi ya nahi,اس نے معافی مانگی یا نہیں
jo maazi mein hua so hua,جو ماضی میں ہوا سو ہوا
maazi ke baare mein mat socho,ماضی کے بارے میں مت سوچو
apna maazi bhool jao,اپنا ماضی بھول جاؤ
uska maazi bahut bura tha,اس کا ماضی بہت برا تھا
maazi mein return nahi ja sakta koi,ماضی میں واپس نہیں جا سکتا کوئی
tum apne maazi se bahut zyada chipke ho,تم اپنے ماضی سے بہت زیادہ چپکے ہو
maazi ki galtiyan yaad karke kya milta hai,ماضی کی غلطیاں یاد کر کے کیا ملتا ہے
iska maazi to bilkul saaf hai,اس کا ماضی تو بالکل صاف ہے
"maazi badal nahi sakta, aage badho",ماضی بدل نہیں سکتا، آگے بڑھو
uske maazi ke baare mein mat poochho,اس کے ماضی کے بارے میں مت پوچھو
mazi ko bhool ke aage badho,ماضی کو بھول کے آگے بڑھو
uska mazi bahut complicated hai,اس کا ماضی بہت کامپلیکیٹڈ ہے
mazi ki baatein dobara mat uthao,ماضی کی باتیں دوبارہ مت اٹھاؤ
mazi mein bhi aisa hi hua tha,ماضی میں بھی ایسا ہی ہوا تھا
mazi ko pakad ke baithna bhi koi zindagi hai,ماضی کو پکڑ کے بیٹھنا بھی کوئی زندگی ہے
jo mazi mein ho gaya use jaane do,جو ماضی میں ہو گیا اسے جانے دو
"mazi se seekho, magar mazi mein mat jio",ماضی سے سیکھو، مگر ماضی میں مت جیو
maazee ko chhod ke aage dekho,ماضی کو چھوڑ کے آگے دیکھو
uska maazee jaanta hun main,اس کا ماضی جانتا ہوں میں
maazee ki baatein karne se kuch nahi hota,ماضی کی باتیں کرنے سے کچھ نہیں ہوتا
maadee mein itna dara hua tha woh,ماضی میں اتنا ڈرا ہوا تھا وہ
maadee ki kahaniyan mat sunao mujhe,ماضی کی کہانیاں مت سناؤ مجھے
woh fail ho gaya,وہ فیل ہو گیا
main fail ho gayi phir se,میں فیل ہو گئی پھر سے
exam mein fail hua,امتحان میں فیل ہوا
kya tum fail ho gaye,کیا تم فیل ہو گئے
math mein fail ho gaya woh,میتھ میں فیل ہو گیا وہ
teen baar fail hua hai woh isi subject mein,تین بار فیل ہوا ہے وہ اسی سبجیکٹ میں
fail hone se zindagi khatam nahi hoti,فیل ہونے سے زندگی ختم نہیں ہوتی
agar fail ho gaye to phir doge,اگر فیل ہو گئے تو پھر دو گے
yaar fail ho gaya main to,یار فیل ہو گیا میں تو
result aaya to fail tha,رزلٹ آیا تو فیل تھا
sirf do marks se fail hua,صرف دو مارکس سے فیل ہوا
pata tha fail honga agar is tarah parhe,پتہ تھا فیل ہوں گا اگر اس طرح پڑھے
woh har saal fail hota hai aur kuch nahi karta,وہ ہر سال فیل ہوتا ہے اور کچھ نہیں کرتا
paper bahut mushkil tha isliye fail hua,پیپر بہت مشکل تھا اس لیے فیل ہوا
fail hone ke baad mama ne bahut daanta,فیل ہونے کے بعد ماما نے بہت ڈانٹا
ek subject mein fail tha baaki sab mein pass,ایک سبجیکٹ میں فیل تھا باقی سب میں پاس
kya tum fail ho gaye tha uss saal,کیا تم فیل ہو گئے تھے اس سال
fail hua to supplementary deni padegi,فیل ہوا تو سپلیمنٹری دینی پڑے گی
"aaj result hai, dar lag raha hai fail na ho jaun",آج رزلٹ ہے، ڈر لگ رہا ہے فیل نہ ہو جاؤں
woh feel ho gaya exam mein,وہ فیل ہو گیا امتحان میں
main feel ho gayi test mein,میں فیل ہو گئی ٹیسٹ میں
bhai feel ho gaya physics mein,بھائی فیل ہو گیا فزکس میں
pata tha feel hoga,پتہ تھا فیل ہو گا
feel hone ke baad bahut roya woh,فیل ہونے کے بعد بہت رویا وہ
kaash feel na hota,کاش فیل نہ ہوتا
feel na ho iss baar kisi tarah,فیل نہ ہو اس بار کسی طرح
feel hua to ghar mein jhagra hoga,فیل ہوا تو گھر میں جھگڑا ہو گا
dhyan rakho,دھیان رکھو
dhyan se suno,دھیان سے سنو
dhyan nahi diya tune,دھیان نہیں دیا تم نے
road pe dhyan rakho,روڈ پہ دھیان رکھو
kya dhyan hai tumhara,کیا دھیان ہے تمہارا
padhai pe dhyan do,پڑھائی پہ دھیان دو
apna dhyan rakho,اپنا دھیان رکھو
dhyan kahan hai tera,دھیان کہاں ہے تیرا
"khane pe dhyan do, phone baad mein dekh lena",کھانے پہ دھیان دو، فون بعد میں دیکھ لینا
koi dhyan nahi deta isko,کوئی دھیان نہیں دیتا اسے
"dhyan se karo kaam, galti ho jaati hai",دھیان سے کرو کام، غلطی ہو جاتی ہے
usne meri baat pe bilkul dhyan nahi diya,اس نے میری بات پہ بالکل دھیان نہیں دیا
gaadi chalaate waqt dhyan rakhna bahut zaroori hai,گاڑی چلاتے وقت دھیان رکھنا بہت ضروری ہے
bacchon ka dhyan rakhna maa ka kaam hai,بچوں کا دھیان رکھنا ماں کا کام ہے
dhayan rakhna apna,دھیان رکھنا اپنا
dhayan se suno kya keh raha hun,دھیان سے سنو کیا کہہ رہا ہوں
