roman_urdu,urdu
maine usse message kiya,میں نے اسے میسج کیا
usne mujhe message nahi kiya,اس نے مجھے میسج نہیں کیا
kal raat ka message abhi tak nahi dekha,کل رات کا میسج ابھی تک نہیں دیکھا
kya tumhara message mila use,کیا تمہارا میسج ملا اسے
message kar do jab pohonch jao,میسج کر دو جب پہنچ جاؤ
group mein message mat karo yeh baat,گروپ میں میسج مت کرو یہ بات
msg aaya tha tera subah,میسج آیا تھا تیرا صبح
usne messsage kiya lekin main so raha tha,اس نے میسج کیا لیکن میں سو رہا تھا
message kar lo abhi warna late ho jaoge,میسج کر لو ابھی ورنہ لیٹ ہو جاؤ گے
message dekha nahi abhi tak kisi ne,میسج دیکھا نہیں ابھی تک کسی نے
woh roz exercise karta hai subah,وہ روز ایکسرسائز کرتا ہے صبح
doctor ne exercise karne ko kaha hai,ڈاکٹر نے ایکسرسائز کرنے کو کہا ہے
exercise ke baad bahut bhook lagti hai,ایکسرسائز کے بعد بہت بھوک لگتی ہے
main gym mein exercize karta hun,میں جم میں ایکسرسائز کرتا ہوں
exrcise chhod di usne lazy ho gaya hai,ایکسرسائز چھوڑ دی اس نے لیزی ہو گیا ہے
aaj exercise nahi hui waqt nahi mila,آج ایکسرسائز نہیں ہوئی وقت نہیں ملا
exercise karo sehat theek rahegi,ایکسرسائز کرو صحت ٹھیک رہے گی
kal se exercise shuru kar raha hun,کل سے ایکسرسائز شروع کر رہا ہوں
bina exercise ke neend nahi aati mujhe,بنا ایکسرسائز کے نیند نہیں آتی مجھے
exercise ki routine banana mushkil hai,ایکسرسائز کی روٹین بنانا مشکل ہے
kal mera exam hai,کل میرا ایگزام ہے
exam mein bahut mushkil sawal aaye,ایگزام میں بہت مشکل سوال آئے
exam ki tayyari kar raha hun,ایگزام کی تیاری کر رہا ہوں
aaj ka exam acha gaya,آج کا ایگزام اچھا گیا
exaam mein fail ho gaya woh,ایگزام میں فیل ہو گیا وہ
exam se pehle raat bhar parhna hoga,ایگزام سے پہلے رات بھر پڑھنا ہوگا
kab hai tera exam batao,کب ہے تیرا ایگزام بتاؤ
exzam cancel ho gaya aaj,ایگزام کینسل ہو گیا آج
exam ka result kab aayega,ایگزام کا رزلٹ کب آئے گا
do din mein exam hai tension ho rahi hai,دو دن میں ایگزام ہے ٹینشن ہو رہی ہے
woh math mein fail ho gaya,وہ میتھ میں فیل ہو گیا
main fail nahi hona chahta,میں فیل نہیں ہونا چاہتا
pehli baar fail hua hai isliye udaas hai,پہلی بار فیل ہوا ہے اس لیے اداس ہے
fail ho bhi jaao to problem nahi,فیل ہو بھی جاؤ تو پرابلم نہیں
usne socha tha fail nahi hoga lekin ho gaya,اس نے سوچا تھا فیل نہیں ہوگا لیکن ہو گیا
agar fael hua to ghar wale marengy,اگر فیل ہوا تو گھر والے ماریں گے
fail hone se zindagi nahi rukti,فیل ہونے سے زندگی نہیں رکتی
fail nahi hona chahiye tha usse,فیل نہیں ہونا چاہیے تھا اسے
do baar fail hua ab pass kar gaya,دو بار فیل ہوا اب پاس کر گیا
fail hoga nahi padh lo thoda,فیل ہوگا نہیں پڑھ لو تھوڑا
