roman_urdu,urdu
"message dekha kya tumne, usne toh kal raat hi bhej diya tha",میسج دیکھا کیا تم نے، اس نے تو کل رات ہی بھیج دیا تھا
"yaar message kyun nahi kiya abhi tak, main wait kar raha hun",یار میسج کیوں نہیں کیا ابھی تک، میں ویٹ کر رہا ہوں
group mein message bheja tha maine lekin kisi ne jawab nahi diya,گروپ میں میسج بھیجا تھا میں نے لیکن کسی نے جواب نہیں دیا
jo message aaya hai use pehle padh lo phir jawab dena,جو میسج آیا ہے اسے پہلے پڑھ لو پھر جواب دینا
jab main driving kar raha hota hun to messages nahi dekh sakta,جب میں ڈرائیونگ کر رہا ہوتا ہوں تو میسجز نہیں دیکھ سکتا
"usne message read kiya lekin reply nahi kiya, yeh buri baat hai",اس نے میسج ریڈ کیا لیکن ریپلائی نہیں کیا، یہ بری بات ہے
subah uthke pehle kaam ka message check karna bura lagta hai,صبح اٹھ کے پہلے کام کا میسج چیک کرنا برا لگتا ہے
messages ka jawab dena zaroori hai warna log bura maan jaate hain,میسجز کا جواب دینا ضروری ہے ورنہ لوگ برا مان جاتے ہیں
"agar rozana exercise karo to sehat theek rehti hai, yeh sach hai",اگر روزانہ ایکسرسائز کرو تو صحت ٹھیک رہتی ہے، یہ سچ ہے
usne gym join ki hai aur ab roz exercise karta hai subah shaam,اس نے جم جوائن کی ہے اور اب روز ایکسرسائز کرتا ہے صبح شام
exercise karne ke baad protein lena zaroori hota hai muscles ke liye,ایکسرسائز کرنے کے بعد پروٹین لینا ضروری ہوتا ہے مسلز کے لیے
main pichle hafte se exercise shuru karna chahta hun lekin time nahi milta,میں پچھلے ہفتے سے ایکسرسائز شروع کرنا چاہتا ہوں لیکن ٹائم نہیں ملتا
doctor ne kaha hai ke exercise ke bina weight kam nahi hoga,ڈاکٹر نے کہا ہے کہ ایکسرسائز کے بنا وزن کم نہیں ہو گا
yeh app exercise ka schedule track karti hai aur reminder bhi deti hai,یہ ایپ ایکسرسائز کا شیڈول ٹریک کرتی ہے اور ریمائنڈر بھی دیتی ہے
sirf 20 minute ki exercise bhi bahut kaam aati hai din mein,صرف 20 منٹ کی ایکسرسائز بھی بہت کام آتی ہے دن میں
exam se ek hafte pehle padhna shuru kiya to kuch nahi hota waqt pe,امتحان سے ایک ہفتے پہلے پڑھنا شروع کیا تو کچھ نہیں ہوتا وقت پہ
"kal ka exam bahut mushkil tha, lagta hai paper nahi diya acche se",کل کا امتحان بہت مشکل تھا، لگتا ہے پیپر نہیں دیا اچھے سے
exam mein acha karna hai to pehle se taiyari karni padti hai,امتحان میں اچھا کرنا ہے تو پہلے سے تیاری کرنی پڑتی ہے
usne exam ke liye raat bhar padha lekin paper mein dimagh hi band ho gaya,اس نے امتحان کے لیے رات بھر پڑھا لیکن پیپر میں دماغ ہی بند ہو گیا
is baar exam mein better karna hai kyunke last time bahut bura hua tha,اس بار امتحان میں بیٹر کرنا ہے کیونکہ لاسٹ ٹائم بہت برا ہوا تھا
"exams ke time pe neend nahi aati, dimagh chalta rehta hai raat ko",امتحانات کے وقت نیند نہیں آتی، دماغ چلتا رہتا ہے رات کو
"exam ka result aane tak chain nahi milta, bahut tension rehti hai",امتحان کا رزلٹ آنے تک چین نہیں ملتا، بہت ٹینشن رہتی ہے
"kal exam hai aur abhi tak koi taiyari nahi ki, ab kya hoga",کل امتحان ہے اور ابھی تک کوئی تیاری نہیں کی، اب کیا ہو گا
"galti se important message delete ho gaya, ab recover kaise hoga",غلطی سے اہم میسج ڈیلیٹ ہو گیا، اب ریکور کیسے ہو گا
"woh photos delete mat karo, kuch yaadein hain unke saath",وہ فوٹوز ڈیلیٹ مت کرو، کچھ یادیں ہیں ان کے ساتھ
purani files delete kar do warna phone ki storage bhar jaayegi,پرانی فائلیں ڈیلیٹ کر دو ورنہ فون کی اسٹوریج بھر جائے گی
"usne apna account delete kar diya, ab contact kaise karein usse",اس نے اپنا اکاؤنٹ ڈیلیٹ کر دیا، اب کانٹیکٹ کیسے کریں اس سے
"yeh app delete karke dobara install karo, shayad theek ho jaaye",یہ ایپ ڈیلیٹ کر کے دوبارہ انسٹال کرو، شاید ٹھیک ہو جائے
